epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,21619.6,0.59834,3.29978,0.85744,1.0834,0.65449,0.64491,0.66972,0.56743,0.52351,0.43052,0.38331,0.14696,0.54986,3.1685,0.90837,0.90673,0.000128428,0.000128428,0.000128428
30,22343.5,0.58989,3.28601,0.84213,1.0785,0.65843,0.64657,0.67386,0.57171,0.52895,0.42891,0.38518,0.14739,inf,3.16532,0.90352,0.90486,0.000110114,0.000110114,0.000110114
31,23083.4,0.59045,3.19754,0.84484,1.09136,0.65897,0.65048,0.67874,0.57677,0.53636,0.4277,0.38695,0.14755,0.54504,3.16274,0.89735,0.90285,9.29893e-05,9.29893e-05,9.29893e-05
32,23822.9,0.5692,3.17105,0.81568,1.07569,0.66536,0.65014,0.6832,0.58162,0.54308,0.42643,0.38864,0.14801,inf,3.15977,0.89168,0.90133,7.71594e-05,7.71594e-05,7.71594e-05
33,24561.7,0.55777,3.15596,0.79935,1.06841,0.67173,0.64837,0.68715,0.58579,0.54791,0.42564,0.39025,0.14853,inf,3.15703,0.88585,0.89979,6.2722e-05,6.2722e-05,6.2722e-05
34,25301.1,0.55241,3.14561,0.78514,1.06521,0.67924,0.64627,0.69115,0.59007,0.54831,0.42542,0.38932,0.14885,0.5391,3.15401,0.87997,0.89832,4.97659e-05,4.97659e-05,4.97659e-05
35,26040.2,0.54251,3.13078,0.77667,1.05877,0.68576,0.64598,0.69532,0.594,0.54975,0.42698,0.39119,0.14933,0.53763,3.15115,0.87469,0.89697,3.83711e-05,3.83711e-05,3.83711e-05
36,26778.7,0.5377,3.12379,0.76456,1.05451,0.68644,0.65034,0.69874,0.59738,0.54911,0.42882,0.39202,0.14965,0.53647,3.14891,0.86978,0.89601,2.86078e-05,2.86078e-05,2.86078e-05
37,27517.4,0.53104,3.11683,0.75856,1.05105,0.69098,0.6517,0.70212,0.60069,0.55002,0.4288,0.39262,0.14994,0.53527,3.14664,0.86496,0.89489,2.05362e-05,2.05362e-05,2.05362e-05
38,28255.7,0.52705,3.11002,0.75297,1.04819,0.6954,0.65079,0.70495,0.60359,0.55136,0.43052,0.3937,0.1503,inf,3.14453,0.8604,0.89409,1.42061e-05,1.42061e-05,1.42061e-05
39,28993.2,0.52555,3.10466,0.74818,1.04773,0.69765,0.65285,0.70778,0.6066,0.54923,0.43372,0.39463,0.15038,0.53365,3.14265,0.85569,0.89338,9.65656e-06,9.65656e-06,9.65656e-06
40,29731.5,0.52322,3.10624,0.74464,1.04637,0.69919,0.65497,0.71064,0.60929,0.55207,0.4346,0.39625,0.15072,inf,3.14105,0.85135,0.89257,6.91555e-06,6.91555e-06,6.91555e-06
